Zip,City,Latitude,Longitude
1720,Acton,42.477142,-71.4422
1899,Andover,42.635443,-70.879123
2174,Arlington,42.417695,-71.167083
1721,Ashland,42.257956,-71.45886
1730,Bedford,42.496679,-71.27504
2178,Belmont,42.446396,-71.459405
2113,Boston,42.365028,-71.05636
2185,Braintree,42.180048,-71.08923
1803,Burlington,42.506362,-71.20008
2238,Cambridge,42.446396,-71.459405
1824,Chelmsford,42.595491,-71.3544
2150,Chelsea,42.396382,-71.03352
1742,Concord,42.457201,-71.37478
1923,Danvers,42.569756,-70.94322
2026,Dedham,42.244609,-71.16553
2149,Everett,42.409916,-71.0522
1705,Framingham,42.446396,-71.459405
1931,Gloucester,42.635443,-70.879123
2173,Lexington,42.446396,-71.459405
1850,Lowell,42.655791,-71.30504
1904,Lynn,42.490421,-70.96579
1940,Lynnfield,42.527895,-71.02834
2148,Malden,42.428549,-71.06059
2153,Medford,42.446396,-71.459405
2177,Melrose,42.446396,-71.459405
2169,Quincy,42.250739,-70.99593
2151,Revere,42.416247,-71.00525
1906,Saugus,42.462796,-71.0098
2067,Sharon,42.113749,-71.17923
1545,Shrewsbury,42.286643,-71.72502
2145,Somerville,42.390846,-71.09225
2180,Stoneham,42.480145,-71.09835
1983,Topsfield,42.642471,-70.94424
1880,Wakefield,42.501345,-71.07132
2453,Waltham,42.370446,-71.23563
2172,Watertown,42.372596,-71.177998
2189,Weymouth,42.2112,-70.93111
1890,Winchester,42.451945,-71.14276
1808,Woburn,42.446396,-71.459405
